time,actual,predicted
0,6998.76,6998.76
1,6998.772059394438,6998.7396486301595
2,6998.767491393844,6998.702676057617
3,6998.7740944811085,6998.715489194003
4,6998.798536221902,6998.720366139506
5,6998.797613547842,6998.697068498123
6,6998.803174748025,6998.685197289965
7,6998.80016343875,6998.702230134734
8,6998.763106580094,6998.6982682642865
9,6998.776675257148,6998.70354044436
10,6998.784925551801,6998.6993623947355
11,6998.801663065085,6998.682209188266
12,6998.841036556839,6998.6952719252085
13,6998.834313753433,6998.714312363064
14,6998.832244253984,6998.692699429431
15,6998.814464851654,6998.675510650588
16,6998.792320196734,6998.688732618092
17,6998.7961818003405,6998.667280317346
18,6998.8307700465575,6998.673253817161
19,6998.8231797065555,6998.668832875875
20,6998.818412835631,6998.667144959019
21,6998.821435360711,6998.675187573265
22,6998.817097912362,6998.668563284495
23,6998.806558077518,6998.675414725049
24,6998.801468788931,6998.668555575426
25,6998.814950996975,6998.668011769106
26,6998.823018123738,6998.660496785412
27,6998.816545812355,6998.658048090466
28,6998.818246890059,6998.653037606558
29,6998.82565771999,6998.658152455796
30,6998.822908876745,6998.661006941083
31,6998.815260866178,6998.666102850632
32,6998.7587958840395,6998.673819333886
33,6998.765459898843,6998.67238634847
34,6998.768086741592,6998.668375925696
35,6998.769755729843,6998.6667533816835
36,6998.823060029327,6998.6579708730715
37,6998.818627421302,6998.688180827897
38,6998.817331669333,6998.666201310143
39,6998.804281286947,6998.632046191454
40,6998.801285318559,6998.649042025487
41,6998.804574710887,6998.61826966728
42,6998.807549800864,6998.637203378603
43,6998.803457553246,6998.644976807175
44,6998.801450837457,6998.646413616598
45,6998.802382799585,6998.6694835534345
46,6998.8003013481275,6998.67065602864
47,6998.799441035909,6998.67502158271
48,6998.801448094685,6998.681827633702
49,6998.800774232947,6998.688081025314
