time,actual,predicted
0,6475.68,6475.68
1,6475.680744408096,6475.6796058502805
2,6475.680002090621,6475.679729630634
3,6475.680929523248,6475.680814152073
4,6475.677696504663,6475.68032835487
5,6475.678885070383,6475.68047691754
6,6475.678983615003,6475.680237396566
7,6475.678447831435,6475.6802541826855
8,6475.67801496968,6475.680431050597
9,6475.678438772283,6475.6804742619925
10,6475.678429529597,6475.680427333118
11,6475.67682128751,6475.680120619526
12,6475.676069874175,6475.680790417359
13,6475.677507434491,6475.680874795638
14,6475.672658200192,6475.680447716965
15,6475.6734747341525,6475.680786487943
16,6475.673440675156,6475.68084093098
17,6475.674954803928,6475.681288913366
18,6475.674313276877,6475.680646454284
19,6475.675705433467,6475.6807832526065
20,6475.6761472148655,6475.68063250928
21,6475.67633712786,6475.6803271215085
22,6475.675041951044,6475.680763267863
23,6475.6745117701485,6475.680653046413
24,6475.674753029895,6475.680522068455
25,6475.675810605943,6475.6803987427975
26,6475.6772748207195,6475.6801618351155
27,6475.67608418663,6475.679939186305
28,6475.675116029279,6475.679863355036
29,6475.675712633581,6475.679783494171
30,6475.675253862007,6475.679959628319
31,6475.677502410881,6475.680042381884
32,6475.676355216958,6475.679533036628
33,6475.6756343098805,6475.679536960202
34,6475.675265099835,6475.679204324248
35,6475.677108741127,6475.679562756626
36,6475.674015951261,6475.679379808446
37,6475.675219769438,6475.679289433858
38,6475.673427031572,6475.6790542483905
39,6475.673933305811,6475.679163947823
40,6475.673586675706,6475.67888935295
41,6475.672678004163,6475.67931240417
42,6475.67332565349,6475.67955493102
43,6475.673447976891,6475.679360614401
44,6475.671833195839,6475.679890030452
45,6475.679365004822,6475.679541594377
46,6475.675895828775,6475.678186680235
47,6475.676791625941,6475.6784395582135
48,6475.676324067983,6475.677289609277
49,6475.674371138975,6475.678214750255
50,6475.672279813644,6475.678774275584
51,6475.673485775872,6475.678816898708
52,6475.67158302222,6475.679337917101
53,6475.674036964272,6475.6790420463585
54,6475.673817238126,6475.678582215224
55,6475.673464360861,6475.67978028267
56,6475.673640861776,6475.679390966577
57,6475.673930334116,6475.6795840773575
58,6475.673288108146,6475.679907481641
59,6475.673407344722,6475.679482568028
60,6475.673204511875,6475.679606199069
61,6475.673825523117,6475.679523729806
62,6475.6742712593705,6475.6792143551975
63,6475.675770307962,6475.679324312595
64,6475.675249747363,6475.678937314085
65,6475.67512456229,6475.678796484894
66,6475.675075100266,6475.678664710791
67,6475.675511005907,6475.678670368463
68,6475.675209713128,6475.678423364795
69,6475.674356565756,6475.678326770626
70,6475.674463300238,6475.678413274288
71,6475.6739018439785,6475.678300808487
72,6475.673790418193,6475.678485347956
73,6475.67386006707,6475.6784986743305
74,6475.672705523881,6475.67855226378
75,6475.672860467273,6475.678609253355
76,6475.6728991971195,6475.678572047128
77,6475.6735901108295,6475.678827491771
78,6475.673935329169,6475.678564195598
79,6475.6731816820275,6475.678495801186
80,6475.673613768557,6475.678522235737
81,6475.673596740245,6475.678318493677
82,6475.676440516755,6475.678470279727
83,6475.675535929137,6475.677877267818
84,6475.675217646258,6475.677804109798
85,6475.674183670334,6475.67740982447
