time,actual,predicted
0,6466.79,6466.79
1,6466.790481097211,6466.790158360369
2,6466.790357401811,6466.790205343725
3,6466.790375958416,6466.79029029331
4,6466.790354309444,6466.790362646677
5,6466.790275443627,6466.790443735903
6,6466.790247606437,6466.790551992378
7,6466.7901702787585,6466.790655839511
8,6466.790267719169,6466.7907550377895
9,6466.790264626124,6466.79081229383
10,6466.790388348306,6466.790944876801
11,6466.790400718994,6466.791033699769
12,6466.7904285526965,6466.7911587890185
